experiment,test_year,trades,wr,avg_r,pf,dd,ret,oos
h1_baseline,2021,1185,0.8075949367088607,0.0658346026695723,1.3158160921674749,0.17158990252985784,1.519717915790416,False
h1_baseline,2022,1207,0.7986743993371996,0.06290710016050968,1.3099872765169804,0.17155308365243835,1.6937814491527976,True
h1_baseline,2023,1153,0.8204683434518647,0.07069997425606808,1.4607991280424673,0.11393953902082464,1.8348793743718321,True
h1_baseline,2024,1213,0.7807089859851608,0.03008147787221807,1.1551258713619317,0.2524644572469789,1.0978498644961818,True
h1_baseline,2025,1192,0.8221476510067114,0.06985076032432014,1.3578077680853284,0.23691467988466577,3.9306241707924405,True
h1_baseline,2026,593,0.8128161888701517,0.08181111512624702,1.5868287773180663,0.3018992452973343,7.522830999996042,True
h4_h1,2021,1213,0.7938994229183842,0.0348391517255154,1.1604982994970423,0.38627853836299714,0.8544556942090171,False
h4_h1,2022,1206,0.8101160862354893,0.08654643882008799,1.4643632759478415,0.1588531343415528,2.4002378918200176,True
h4_h1,2023,1156,0.8261245674740484,0.09923293728217689,1.589432332911314,0.06770880195302412,2.324388861795197,True
h4_h1,2024,1205,0.775103734439834,0.01926722506192178,1.1017180675111296,0.5767425089995578,0.752580944805451,True
h4_h1,2025,1172,0.8071672354948806,0.05453530160687823,1.3365887906857723,0.27344982770388704,3.5393811454884583,True
h4_h1,2026,595,0.8084033613445378,0.07467779011780301,1.4457307146299716,0.3484245659515522,5.8563753859674845,True
production_feat7,2021,1157,0.8124459809853068,0.07408575477406203,1.357289529410474,0.1788921785443115,1.6861101924186972,False
production_feat7,2022,1210,0.8165289256198347,0.09499061439344894,1.5116790546180414,0.13719442788131755,2.57908809058475,True
production_feat7,2023,1143,0.7935258092738408,0.04315694696419648,1.2506356236367107,0.14709769631948932,1.1391247576595949,True
production_feat7,2024,1205,0.775103734439834,0.02371668600888901,1.1048935667527549,0.4234136948302807,0.7840306841624276,True
production_feat7,2025,1178,0.8174872665534805,0.06262946959463966,1.2281913397850437,0.4241680642650988,2.668440067726123,True
production_feat7,2026,599,0.8130217028380634,0.07633713765182859,1.5027894826263524,0.5380584827607544,6.3580075274142915,True
