policy,year,oos,pf,dd,trades,avg_r
h1_immediate_m15,2021,False,1.3158160921674749,0.17158990252985784,1185,0.0658346026695723
h1_immediate_m15,2022,True,1.3099872765169804,0.17155308365243835,1207,0.06290710016050968
h1_immediate_m15,2023,True,1.4607991280424673,0.11393953902082464,1153,0.07069997425606808
h1_immediate_m15,2024,True,1.1551258713619317,0.2524644572469789,1213,0.03008147787221807
h1_immediate_m15,2025,True,1.3578077680853284,0.23691467988466577,1192,0.06985076032432014
h1_immediate_m15,2026,True,1.5868287773180663,0.3018992452973343,593,0.08181111512624702
m15_pullback_m15_exit,2021,False,1.3392109626013682,0.19930355262719063,1087,0.073546676917584
m15_pullback_m15_exit,2022,True,1.403667084956694,0.1559590560499821,1128,0.0795091762953416
m15_pullback_m15_exit,2023,True,1.5489198813547045,0.12257598155641901,1058,0.08206569303911992
m15_pullback_m15_exit,2024,True,1.1407821539434884,0.2706574463928747,1131,0.02680306317721761
m15_pullback_m15_exit,2025,True,1.4520163340760415,0.20672808947435659,1111,0.08731745111137323
m15_pullback_m15_exit,2026,True,2.1907921950773592,0.16114543487588498,560,0.1457548552482287
m5_pullback_m15_exit,2021,False,1.4844818679392193,0.11817298258832948,1083,0.08662316675501984
m5_pullback_m15_exit,2022,True,1.4150442512283004,0.16787522568819477,1131,0.08149777083289116
m5_pullback_m15_exit,2023,True,1.5638294439810294,0.08872583460690424,1053,0.08390095211040512
m5_pullback_m15_exit,2024,True,1.2103696820819376,0.2727242821981358,1138,0.03820205281258395
m5_pullback_m15_exit,2025,True,1.4217684375331858,0.2097789690566866,1113,0.08190278446300979
m5_pullback_m15_exit,2026,True,1.8534204773139198,0.15760455067010823,557,0.11453641051444806
