policy,entry_tf,pf,dd,avg_r,wr,trades,ret,retention,mc_prob_ruin,mc_median_dd
h1_immediate_m15,H1,1.3987305326075496,0.3018992452973343,0.06078963614155213,0.8060843598357597,5358,3.215993171761859,1.0,0.0016,0.25304167882701156
m15_pullback_m15_exit,M15,1.6001587219925002,0.2706574463928747,0.07727717034356676,0.8147554129911788,4988,4.184450031179984,0.9734461628246279,0.0003,0.197763187029121
m5_pullback_m15_exit,M15,1.526561049477992,0.2727242821981358,0.07591149784632502,0.8155048076923077,4992,3.7482339893622467,0.9750510650714911,0.0004,0.21262045529228601
