context,year,oos,pf,dd,trades
h1_only,2021,False,1.3392109626013682,0.19930355262719063,1087
h1_only,2022,True,1.403667084956694,0.1559590560499821,1128
h1_only,2023,True,1.5489198813547045,0.12257598155641901,1058
h1_only,2024,True,1.1407821539434884,0.2706574463928747,1131
h1_only,2025,True,1.4520163340760415,0.20672808947435659,1111
h1_only,2026,True,2.1907921950773592,0.16114543487588498,560
h4_context,2021,False,1.1940516980409086,0.42536894833282,1153
h4_context,2022,True,1.598362216838237,0.14770425027542716,1136
h4_context,2023,True,1.5898891783103721,0.10011693416767319,1049
h4_context,2024,True,1.1048868935142817,0.5128909262536288,1104
h4_context,2025,True,1.4475409608931933,0.1643381754179142,1098
h4_context,2026,True,1.8307235887195246,0.39123797766547924,558
d1_context,2021,False,1.2102878865983075,0.20248464326820226,1121
d1_context,2022,True,1.310630906374341,0.22213295305209693,1120
d1_context,2023,True,1.4274324893449595,0.12874189312432954,1110
d1_context,2024,True,1.208925426609917,0.23092309799169672,1118
d1_context,2025,True,1.246361286316786,0.2963491766070249,1091
d1_context,2026,True,1.7632227150590605,0.2187782291943845,570
