context,experiment,pf,dd,avg_r,wr,trades,ret,retention,mc_prob_ruin,mc_median_dd
h1_only,h1_baseline,1.6001587219925002,0.2706574463928747,0.07727717034356676,0.8147554129911788,4988,4.184450031179984,0.9734461628246279,0.0003,0.197763187029121
h4_context,h4_h1,1.528572793946001,0.5128909262536288,0.0793755652408326,0.81314459049545,4945,3.684925179835818,0.9728625620075868,0.0002,0.20436593770384837
d1_context,d1_h1,1.4125839934934814,0.2963491766070249,0.06234489167362055,0.8039528848073467,5009,3.050311053045721,0.9715494601692443,0.0005,0.22295517532482695
