strategy,retention,pf,dd,trades,avg_r
immediate,1.0,1.3987305326075496,0.3018992452973343,5358,0.06078963614155213
delay_1,1.0,1.390906448481916,0.23213697785118076,5353,0.08377956835957051
delay_2,1.0,1.4314814320775673,0.27900069650119314,5405,0.08777968274311972
momentum,0.9810329734461628,1.3244073975106694,0.36983195533607915,5138,0.06189835374832968
pullback_recovery,0.9750510650714911,1.5552747033751264,0.30125747261672325,5103,0.1080841131353076
structure,0.9169827837758973,1.4067280946699292,0.395852900903111,4577,0.0961879009202512
