label,year,oos,n,rate
A_long,2010,False,40,0.35
A_long,2011,False,51,0.4117647058823529
A_long,2012,False,52,0.5
A_long,2013,False,52,0.5576923076923077
A_long,2014,False,52,0.5576923076923077
A_long,2015,False,989,0.4448938321536906
A_long,2016,False,1181,0.4428450465707028
A_long,2017,False,1179,0.43256997455470736
A_long,2018,False,1171,0.4406490179333903
A_long,2019,False,1181,0.4259102455546147
A_long,2020,False,1185,0.4059071729957806
A_long,2021,False,1182,0.43147208121827413
A_long,2022,True,1182,0.44585448392554994
A_long,2023,True,1178,0.43378607809847197
A_long,2024,True,1187,0.4043807919123842
A_long,2025,True,1181,0.4174428450465707
A_long,2026,True,617,0.4813614262560778
A_short,2010,False,40,0.625
A_short,2011,False,51,0.5686274509803921
A_short,2012,False,52,0.4807692307692308
A_short,2013,False,52,0.34615384615384615
A_short,2014,False,52,0.40384615384615385
A_short,2015,False,989,0.3902932254802831
A_short,2016,False,1181,0.4504657070279424
A_short,2017,False,1179,0.45122985581000846
A_short,2018,False,1171,0.4560204953031597
A_short,2019,False,1181,0.45808636748518206
A_short,2020,False,1185,0.4582278481012658
A_short,2021,False,1182,0.4433164128595601
A_short,2022,True,1182,0.4365482233502538
A_short,2023,True,1178,0.42105263157894735
A_short,2024,True,1187,0.4860994102780118
A_short,2025,True,1181,0.4987298899237934
A_short,2026,True,617,0.4376012965964344
B_long,2010,False,40,0.025
B_long,2011,False,51,0.058823529411764705
B_long,2012,False,52,0.1346153846153846
B_long,2013,False,52,0.19230769230769232
B_long,2014,False,52,0.1346153846153846
B_long,2015,False,989,0.11931243680485339
B_long,2016,False,1181,0.12362404741744284
B_long,2017,False,1179,0.11365564037319763
B_long,2018,False,1171,0.10503842869342442
B_long,2019,False,1181,0.09229466553767993
B_long,2020,False,1185,0.08691983122362869
B_long,2021,False,1182,0.11505922165820642
B_long,2022,True,1182,0.1362098138747885
B_long,2023,True,1178,0.09932088285229201
B_long,2024,True,1187,0.10446503791069923
B_long,2025,True,1181,0.10753598645215919
B_long,2026,True,617,0.13614262560777957
B_short,2010,False,40,0.15
B_short,2011,False,51,0.21568627450980393
B_short,2012,False,52,0.057692307692307696
B_short,2013,False,52,0.057692307692307696
B_short,2014,False,52,0.057692307692307696
B_short,2015,False,989,0.1122345803842265
B_short,2016,False,1181,0.12447078746824725
B_short,2017,False,1179,0.1085665818490246
B_short,2018,False,1171,0.11528608027327071
B_short,2019,False,1181,0.12701100762066045
B_short,2020,False,1185,0.1240506329113924
B_short,2021,False,1182,0.11336717428087986
B_short,2022,True,1182,0.1116751269035533
B_short,2023,True,1178,0.11714770797962648
B_short,2024,True,1187,0.13142375737152484
B_short,2025,True,1181,0.14394580863674852
B_short,2026,True,617,0.1053484602917342
