trade_id,year,final_R,final_MAE,final_MFE,p0_R,max_mae,max_mfe,win
1240,2022,0.2614818311640226,0.07135415207493417,0.37460929839349316,0.2614818311640226,0.07581378657961439,0.39244783641221404,True
1241,2022,0.855241179068224,0.00913528911899649,0.9729082911684785,0.855241179068224,0.08906906890981332,0.9729082911684785,True
1242,2022,0.5003903074796645,0.04860181614300969,0.6141502221706767,0.5003903074796645,0.04860181614300969,0.6826345994631291,True
1243,2022,-1.0604318811416018,1.025486600095176,0.08840401724960666,-1.0604318811416018,0.9901249931953734,0.33151506468594955,False
1244,2022,0.7684759502424897,0.2386882051722049,0.8816411182037486,0.7684759502424897,0.2386882051722049,0.8816411182037486,True
1245,2022,0.8129208343907087,0.14785522119601244,0.9290604197539555,0.8129208343907087,0.22067943462089012,0.9290604197539555,True
1246,2022,0.2411626622827101,0.07187186229401832,0.3509037982591324,0.2411626622827101,0.8222986597758513,0.33610665013978563,True
1247,2022,3.3179328798337138,0.07814154974085671,3.446910583014328,3.3179328798337138,0.28434841711262915,3.342721850026486,True
1248,2022,0.21742138027461583,0.822426110111832,0.3310792289424343,0.21742138027461583,0.822426110111832,0.3310792289424343,True
1249,2022,0.39588863542558184,0.20833371555442914,0.5053639634736292,0.39588863542558184,0.3320963188541193,0.5053639634736292,True
1250,2022,0.5374931266669555,0.003979073190132896,0.6446098568021171,0.5374931266669555,0.5928819053303442,0.6446098568021171,True
1251,2022,0.9754758438961466,0.21927373683686363,1.0864016961463778,0.9754758438961466,0.3388775932933718,1.0864016961463778,True
1252,2022,0.17554667389403147,1.1343239977400366,0.28358099943500914,0.17554667389403147,0.9421605573334214,0.5074607358310802,True
1253,2022,-1.0468072084648061,1.659343309472548,0.14331477074527665,-1.0468072084648061,0.9306826678519163,1.2898329367076076,False
1254,2022,-1.06109643870921,1.0063849332651738,0.141522881240439,-1.06109643870921,0.9906601686828687,0.141522881240439,False
1255,2022,-1.060840970301443,1.4895639292775333,0.029075572193078204,-1.060840970301443,0.9483109699904921,0.21694850021009462,False
1256,2022,0.273530860195046,2.399526658338015,0.39702837113547235,0.273530860195046,0.8504651447274002,0.6053055494360642,True
1257,2022,0.4670487616562031,2.1597452768592986,0.588439976715852,0.4670487616562031,0.637476641442177,0.588439976715852,True
1258,2022,0.19080845143634148,0.5112682338549582,0.30240972130147686,0.19080845143634148,0.5112682338549582,0.30240972130147686,True
1259,2022,0.5285799074949881,2.2070401515637035,0.6550068860274638,0.5285799074949881,0.5173444218453964,0.6550068860274638,True
1260,2022,0.8072526795108483,0.7459811760548475,0.9131528612912019,0.8072526795108483,0.7459811760548475,1.8946124326790104,True
1261,2022,0.735032035210828,0.42841393476927214,0.8307756708025661,0.735032035210828,0.6122266702952724,0.44578206725990227,True
1262,2022,0.6044087667176868,0.16739627252633285,0.6954430509022176,0.6044087667176868,0.9621883307002957,0.0,True
1263,2022,0.18036075877129615,0.9450467570503549,0.26925168536553745,0.18036075877129615,0.9450467570503549,0.26925168536553745,True
1264,2022,0.286053126571259,0.39082197963142734,0.3927859091773121,0.286053126571259,0.39082197963142734,0.3927859091773121,True
1265,2022,0.2870722141218123,0.1571097990830224,0.39180468413299224,0.2870722141218123,0.4208990913706086,0.39180468413299224,True
1266,2022,0.3022728028109483,0.6403979061728782,0.4105618478224744,0.3022728028109483,0.5166400285996148,0.5461061899265609,True
