trade_id,year,p0_R,early_R,early_exit,exit_bar,premature,saved
1240,2022,0.2614818311640226,0.2614818311640226,False,22,False,False
1241,2022,0.855241179068224,0.855241179068224,False,22,False,False
1242,2022,0.5003903074796645,0.5003903074796645,False,22,False,False
1243,2022,-1.0604318811416018,-0.782375552658833,True,22,False,True
1244,2022,0.7684759502424897,0.7684759502424897,False,34,False,False
1245,2022,0.8129208343907087,0.8129208343907087,False,22,False,False
1246,2022,0.2411626622827101,-0.6172524644075674,True,2,True,False
1247,2022,3.3179328798337138,3.3179328798337138,False,22,False,False
1248,2022,0.21742138027461583,-0.5567192129987867,True,17,True,False
1249,2022,0.39588863542558184,0.39588863542558184,False,22,False,False
1250,2022,0.5374931266669555,0.5374931266669555,False,22,False,False
1251,2022,0.9754758438961466,0.9754758438961466,False,22,False,False
1252,2022,0.17554667389403147,-0.5652963344000528,True,20,True,False
1253,2022,-1.0468072084648061,-0.7390207455299204,True,24,False,True
1254,2022,-1.06109643870921,-0.6873968517391438,True,2,False,True
1255,2022,-1.060840970301443,-0.6240065109135455,True,15,False,True
1256,2022,0.273530860195046,-0.5206929457514796,True,30,True,False
1257,2022,0.4670487616562031,0.4670487616562031,False,52,False,False
1258,2022,0.19080845143634148,0.19080845143634148,False,34,False,False
1259,2022,0.5285799074949881,0.5285799074949881,False,16,False,False
1260,2022,0.8072526795108483,-0.6435211109099784,True,22,True,False
1261,2022,0.735032035210828,0.735032035210828,False,22,False,False
1262,2022,0.6044087667176868,0.6044087667176868,False,1,False,False
1263,2022,0.18036075877129615,-0.7264463788327745,True,19,True,False
1264,2022,0.286053126571259,0.286053126571259,False,22,False,False
1265,2022,0.2870722141218123,0.2870722141218123,False,22,False,False
1266,2022,0.3022728028109483,0.3022728028109483,False,22,False,False
1267,2022,0.254680311515021,0.254680311515021,False,22,False,False
1268,2022,0.20003850127124803,0.20003850127124803,False,22,False,False
1269,2022,-1.051276909711172,-0.8144901060445694,True,30,False,True
1270,2022,-1.0528880486182977,-0.7594332290814212,True,18,False,True
1271,2022,1.6601105565759198,1.6601105565759198,False,22,False,False
1272,2022,0.2385283488224937,0.2385283488224937,False,22,False,False
1273,2022,0.8682177929943021,0.8682177929943021,False,22,False,False
1274,2022,0.4462759706259692,0.4462759706259692,False,22,False,False
1275,2022,0.289612623934048,0.289612623934048,False,22,False,False
1276,2022,-1.060725457541619,-0.5349170712277465,True,44,False,True
1277,2022,0.15174516159834608,0.15174516159834608,False,22,False,False
1278,2022,-1.0630620617153173,-0.647747761995791,True,28,False,True
1279,2022,0.3947619789024669,0.3947619789024669,False,19,False,False
1280,2022,0.3164839114069301,0.3164839114069301,False,34,False,False
1281,2022,0.2816219114684467,0.2816219114684467,False,22,False,False
1282,2022,0.32139708263669137,0.32139708263669137,False,22,False,False
1283,2022,1.37917427443042,1.37917427443042,False,22,False,False
1285,2022,0.6578093178962138,-0.6372152979327653,True,42,True,False
1286,2022,0.6289674203607898,-0.5744145456868992,True,29,True,False
1287,2022,0.8830365312739293,0.8830365312739293,False,34,False,False
1288,2022,1.0378829642442435,1.0378829642442435,False,22,False,False
1289,2022,0.7368808199484979,0.7368808199484979,False,22,False,False
1290,2022,0.26771476954619366,0.26771476954619366,False,58,False,False
1291,2022,0.16814253674264698,0.16814253674264698,False,22,False,False
1292,2022,0.14021514174075642,0.14021514174075642,False,22,False,False
1293,2022,0.4697506454867159,0.4697506454867159,False,22,False,False
1295,2022,0.25353166509882435,0.25353166509882435,False,22,False,False
1296,2022,0.7195600757405158,0.7195600757405158,False,22,False,False
1297,2022,0.5467179692717651,0.5467179692717651,False,22,False,False
1298,2022,-1.059599702678708,-0.5716495558199524,True,2,False,True
1299,2022,0.19920448326694382,0.19920448326694382,False,34,False,False
1300,2022,0.30568694721916057,0.30568694721916057,False,22,False,False
