experiment,cost_mult,pf,dd,trades
h1_baseline,1.0,1.3987305326075496,0.3018992452973343,5358
h4_h1,1.0,1.3702940877903915,0.5767425089995578,5334
h1_baseline,1.25,1.3488680054392181,0.3239223415962897,5358
h4_h1,1.25,1.3208799733569585,0.6640986064764229,5334
h1_baseline,1.5,1.2998806908932354,0.41375646964500157,5358
h4_h1,1.5,1.2723468179525472,0.7824818071296539,5334
h1_baseline,2.0,1.203268102230858,0.7908600961207058,5346
h4_h1,2.0,1.1794119948302857,0.9973766498400524,5052
