policy,entry,exit_tf,entry_mode,pf,dd,avg_r,wr,trades,ret,mc_prob_ruin,mc_median_dd
production_feat7_m15,immediate,M15,h1_close,1.3267858410109554,0.5380584827607544,0.05854716046350363,0.8020618556701031,5335,2.7057382255094375,0.0031,0.27998229565898247
h1_immediate_m15,immediate,M15,h1_close,1.3987305326075496,0.3018992452973343,0.06078963614155213,0.8060843598357597,5358,3.215993171761859,0.0016,0.25304167882701156
h1_pullback_m15_proper,pullback_recovery,M15,m5_pullback,1.526561049477992,0.2727242821981358,0.07591149784632502,0.8155048076923077,4992,3.7482339893622467,0.0004,0.21262045529228601
h1_pullback_m5,pullback_recovery,M5,m5_pullback,1.2076404384002046,0.8154348896907586,0.01737930554528707,0.8140343698854338,4888,1.4583728525135855,0.0126,0.3529548225557101
