policy,n_features,features,pf,dd,avg_r,wr,trades,ret,mc_prob_ruin,mc_p5,mc_p50,mc_p95,mc_median_dd,long_pf,long_dd,long_trades,short_pf,short_dd,short_trades
A_core_6,6,"hour_cos,atr_percentile_252,ema_trend_duration,rolling_quantile,hour_sin,atr_percent",1.6001587219925002,0.2706574463928747,0.07727717034356676,0.8147554129911788,4988,4.184450031179984,0.0003,20.922250155899906,20.922250155899967,20.92225015590003,0.197763187029121,1.6155360196797948,0.28066702349923706,2011,1.516408404137149,0.37663759485934745,3149
B_core_plus_trend,14,"hour_cos,atr_percentile_252,ema_trend_duration,rolling_quantile,hour_sin,atr_percent,ema20_distance_atr,ema50_distance_atr,ema20_distance_percent,ema50_distance_percent,ema_cross_distance,ema20_slope,ema50_slope,ema_alignment_score",1.4676718365196624,0.2608826304647609,0.06824954922454027,0.8045602605863192,4912,3.4170526048580667,0.0005,17.08526302429027,17.085263024290327,17.085263024290384,0.21950660215106946,1.4957587025919248,0.2851209275984929,2071,1.4255410731826723,0.28698223203228335,3097
C_core_plus_volatility,9,"hour_cos,atr_percentile_252,ema_trend_duration,rolling_quantile,hour_sin,atr_percent,rolling_volatility,volatility_rank,volatility_regime_score",1.431715740929346,0.48614079008623506,0.06948936584133704,0.8076458752515091,4970,3.3763048198597603,0.0025,16.88152409929875,16.881524099298808,16.88152409929886,0.25879455579609656,1.4324535959513447,0.40912968923576454,1498,1.4253030390258496,0.5342748510393438,3651
D_core_plus_momentum,14,"hour_cos,atr_percentile_252,ema_trend_duration,rolling_quantile,hour_sin,atr_percent,macd_normalized,macd_histogram_zscore,macd_signal_distance,momentum_rank,rsi_percentile,roc_3,roc_12,momentum_acceleration",1.3744616042602105,0.9963777170177252,0.07872957748239569,0.8115194979829673,4462,2.1294504003329395,0.0057,10.647252001664668,10.647252001664699,10.647252001664729,0.2662161653466998,1.372693167955165,0.9958395095600681,1763,1.4395417011746139,0.4767184886446651,2994
E_core_plus_candle,12,"hour_cos,atr_percentile_252,ema_trend_duration,rolling_quantile,hour_sin,atr_percent,body_percent,upper_wick_percent,lower_wick_percent,close_position,range_percent,body_rank",1.4849659402683861,0.47944925079517525,0.07441069594592074,0.8096099718536389,4974,3.574782956344863,0.0002,17.873914781724295,17.873914781724356,17.873914781724416,0.22432798779562052,1.4278257464403474,0.37342097999113616,1636,1.540200251310356,0.49619837430773844,3491
F_core_plus_session,8,"hour_cos,atr_percentile_252,ema_trend_duration,rolling_quantile,hour_sin,atr_percent,day_sin,day_cos",1.369137709002745,0.6582830683598607,0.06548623618204118,0.8018396320735853,5001,2.8269531007113295,0.002,14.134765503556592,14.134765503556634,14.134765503556673,0.2638131811423539,1.3653772771832113,0.4539405491526324,2518,1.3020554249051841,0.6582830683598607,2601
G_core_plus_statistical,11,"hour_cos,atr_percentile_252,ema_trend_duration,rolling_quantile,hour_sin,atr_percent,rolling_zscore,rolling_percentile,rolling_rank,rolling_std,rolling_mean_distance",1.3710866328616926,0.4714901942383802,0.06230348764946667,0.8039018503620273,4972,2.859058185408534,0.0033,14.295290927042652,14.295290927042695,14.295290927042736,0.2665594738021775,1.3701637619292597,0.7618882360042066,2282,1.371792756263229,0.378291336211605,2864
H_all_38,38,"ema20_distance_atr,ema50_distance_atr,ema20_distance_percent,ema50_distance_percent,ema_cross_distance,ema20_slope,ema50_slope,ema_trend_duration,ema_alignment_score,atr_percent,atr_percentile_252,rolling_volatility,volatility_rank,volatility_regime_score,macd_normalized,macd_histogram_zscore,macd_signal_distance,momentum_rank,rsi_percentile,roc_3,roc_12,momentum_acceleration,body_percent,upper_wick_percent,lower_wick_percent,close_position,range_percent,body_rank,hour_sin,hour_cos,day_sin,day_cos,rolling_zscore,rolling_percentile,rolling_rank,rolling_quantile,rolling_std,rolling_mean_distance",1.2962494172583363,0.9967266241785633,0.06926535439876996,0.8026025584472871,4534,1.7669979890307725,0.0047,8.834989945153826,8.834989945153856,8.834989945153884,0.28930528515857484,1.3303400662773204,0.9964963590063426,1590,1.2385367135019147,0.5097938245187471,3125
