,ema20_distance_atr,ema50_distance_atr,ema20_distance_percent,ema50_distance_percent,ema_cross_distance,ema20_slope,ema50_slope,ema_trend_duration,ema_alignment_score,atr_percent,atr_percentile_252,rolling_volatility,volatility_rank,volatility_regime_score,macd_normalized,macd_histogram_zscore,macd_signal_distance,momentum_rank,rsi_percentile,roc_3,roc_12,momentum_acceleration,body_percent,upper_wick_percent,lower_wick_percent,close_position,range_percent,body_rank,hour_sin,hour_cos,day_sin,day_cos,rolling_zscore,rolling_percentile,rolling_rank,rolling_quantile,rolling_std,rolling_mean_distance
ema20_distance_atr,1.0,0.8907185853768979,0.9769708849430829,0.8686847216513659,0.5678961201831002,0.9254619043813453,0.8043243747441748,0.027007720071538406,0.815481112773071,-0.02858658548600523,-0.0189283698295149,-0.010435774414874156,-0.009110381538862166,-0.0189283698295149,0.789937158969208,0.5719193723135919,0.6580335567364586,0.7575265441740552,0.8731063844674484,0.5863890199288843,0.8584839228936413,0.18357801575088564,0.010372438006409572,0.04861908865780814,-0.05932702933691721,0.26151926147850685,-0.0207541345836593,0.010111509023015768,0.011606812302530344,-0.004358428307152666,-0.010296120074327526,-0.01484345104160235,0.16451003642589318,0.20365024932817055,0.20365630042311686,0.44691993013307324,-0.009017091481694776,0.16451003642589318
ema50_distance_atr,0.8907185853768979,1.0,0.8661501496322866,0.9748138202351033,0.870900234863216,0.8705620978973766,0.9540673634364389,0.05651260983001569,0.9163105917077471,-0.028989140404840665,0.0010626159837883373,-0.010232544909419954,-0.005865978814475693,0.0010626159837883373,0.9431782792330952,0.23593184563109623,0.33026045119112457,0.4920806050518938,0.6737317967129794,0.39145512586030384,0.7066324466175182,0.0682645940597281,0.008580341797993272,0.024473512124671068,-0.03445811884493378,0.17008153742163934,-0.014497586892741126,0.0075595348063849654,0.007989550207558435,-0.004753153193365218,-0.011262643504221275,-0.009660481135760238,0.034707048197843406,0.07767503228369428,0.07769011637543559,0.4322075958519437,-0.008829657119861745,0.034707048197843406
ema20_distance_percent,0.9769708849430829,0.8661501496322866,1.0,0.8772788760701643,0.5482316630423455,0.942028387343197,0.8099437426059461,0.028531381729919054,0.8039706252438894,-0.015055150663557308,-0.01664370548682946,-0.0014660644158112442,-0.011321283863751152,-0.01664370548682946,0.7685735002658814,0.5618193074045228,0.6446339304655951,0.7432616005207326,0.8504878973349045,0.5813248959958294,0.8687730315331073,0.1773802071856425,0.009901788738995687,0.043691723188270366,-0.053829958860271976,0.2522891133118001,-0.012431301333208642,0.00971599992552347,0.007995810329436474,-0.0022071099183526314,-0.009422264131945893,-0.013682716693716093,0.15399535585857643,0.19175935215149909,0.19175604914011324,0.43885862274382953,-9.063221420420435e-05,0.15399535585857643
ema50_distance_percent,0.8686847216513659,0.9748138202351033,0.8772788760701643,1.0,0.843880461702768,0.8830701034252748,0.9759616393916277,0.05885547222185123,0.9031397726270336,-0.013706819405553964,0.003448677375215237,-0.000781651193465145,-0.00859365250848559,0.003448677375215237,0.9196775787882775,0.23455906920366948,0.327088371644595,0.4828501252883348,0.6534544988379886,0.38603176892518165,0.7115598002489547,0.06495276787268421,0.007559416727561725,0.020674172124521353,-0.029185546053428685,0.16496943501177,-0.006460273267629685,0.007003324883820712,0.003272855781951579,-0.0017781555074742289,-0.008707350241260741,-0.008757913058402227,0.030271101074357716,0.07148373247263215,0.0714880609288522,0.423540134054812,0.0005730324665554155,0.030271101074357716
ema_cross_distance,0.5678961201831002,0.870900234863216,0.5482316630423455,0.843880461702768,1.0,0.6077543382460839,0.8797528353281286,0.08021350185621699,0.8119284993007178,-0.0204686572000354,0.02547379859039882,-0.005552912793122635,0.0016010207606134545,0.02547379859039882,0.8838792357686788,-0.17443785083998145,-0.08743944231431537,0.10158373632334806,0.3097705385033272,0.08861996045756243,0.387281831299754,-0.09015969303461907,0.004223750261001807,-0.009391867171061503,0.0034242806346524934,0.03146670779947714,-0.0032673954522723456,0.0022721955358477376,0.005268885255295035,-0.007148825473023341,-0.011934755539961282,-0.0008879610080433695,-0.12237141388242861,-0.08453487017060037,-0.08451493998145318,0.32228412799019773,-0.004516643533946906,-0.12237141388242861
ema20_slope,0.9254619043813453,0.8705620978973766,0.942028387343197,0.8830701034252748,0.6077543382460839,1.0,0.8779544472939432,0.03082848108760045,0.803401946936193,-0.01735062661100135,-0.01910301642487559,-0.003640634511221532,-0.014126337744091912,-0.01910301642487559,0.8410370801367042,0.5433485165753524,0.6367566863667966,0.7022519795044008,0.8025793038049087,0.4129660343046808,0.8591529666807747,0.034159749198045944,0.003289415404736733,0.02397425844626805,-0.025487938770144082,0.07350367810385686,-0.012772313878415141,0.0028290192324875625,0.00648124628311787,-0.0038072068256664207,-0.008664377434007093,-0.012486705846753519,-0.08458755237628293,-0.040912569795995904,-0.04092189042950075,0.4444642479054544,-0.0022353327718662263,-0.08458755237628293
ema50_slope,0.8043243747441748,0.9540673634364389,0.8099437426059461,0.9759616393916277,0.8797528353281286,0.8779544472939432,1.0,0.06195644709872009,0.8860341424734036,-0.01411650402069216,0.004039180691121867,-0.0016416999541918231,-0.009388678011220859,0.004039180691121867,0.9465616630710785,0.1912656509036897,0.28787064153895886,0.42490555047061573,0.5912634092707456,0.2658764200325449,0.6707916303613017,-0.030878514968603915,0.0037932868244173754,0.006321546368803347,-0.009949667579639868,0.05393174797377739,-0.0056600535339222735,0.0030701514524165445,0.0029021228804217967,-0.0027663803162708256,-0.008394746256784063,-0.00772509445577431,-0.11671017468092863,-0.07245522091273264,-0.07245438472769088,0.4136833186438613,-0.00031914295133927495,-0.11671017468092863
ema_trend_duration,0.027007720071538406,0.05651260983001569,0.028531381729919054,0.05885547222185123,0.08021350185621699,0.03082848108760045,0.06195644709872009,1.0,0.0470121652164209,0.01601339859511207,0.07744073977486553,-0.020474645895444166,0.014726931226475287,0.07744073977486553,0.050696478600345624,-0.028472727013243326,-0.019441543427384335,-0.009068544838496291,-0.0085449727866352,0.005279751222886237,0.01719625532476719,-0.003917993958985373,0.0053813419665221405,-0.009977999159603061,0.003190479004165977,0.006335958300542878,0.03022848631330182,0.0021258878047601382,0.0028492451805362706,-0.020968648209857364,0.018744342554290267,-0.006971153778201524,-0.005302245769337688,-0.00567388070327752,-0.0056681104513369,0.048032078590404786,-0.020437497744744532,-0.005302245769337688
ema_alignment_score,0.815481112773071,0.9163105917077471,0.8039706252438894,0.9031397726270336,0.8119284993007178,0.803401946936193,0.8860341424734036,0.0470121652164209,1.0,-0.03809894086624997,-0.005314081959327873,-0.022353854700964158,-0.01306524725578653,-0.005314081959327873,0.8672310890882008,0.19899480312879855,0.28819246729387277,0.4376558239858109,0.6114952735674746,0.3423681150575526,0.6438159057254808,0.04535963752595107,0.0036493562227163626,0.025496587421047125,-0.027885245538106535,0.14597398729593242,-0.022659808904461367,0.002409884353698768,0.010344350909046104,-0.004582585575688139,-0.011314151952674415,-0.016407099544605577,0.021596047475522354,0.05942598163959716,0.05943950696253168,0.3804953520070329,-0.02114145312020068,0.021596047475522354
atr_percent,-0.02858658548600523,-0.028989140404840665,-0.015055150663557308,-0.013706819405553964,-0.0204686572000354,-0.01735062661100135,-0.01411650402069216,0.01601339859511207,-0.03809894086624997,1.0,0.4636982467461042,0.8406684185679042,0.3308850683199563,0.4636982467461042,-0.03351394356302011,-0.014391302079946426,-0.014060533360694858,-0.03156668570783356,-0.049298988885398534,0.006022352096115002,-0.010457181504823889,-0.002210857291594243,0.027313305687315468,-0.032932182130712445,0.0014044552856231946,0.01959686418788748,0.6174498673000649,0.018782423800291735,-0.16502595007262388,0.1485681413728499,-0.059765529770765935,-0.011127957205489755,0.00833123754031971,0.0029012214056618273,0.0029849865397576,0.5891442436261983,0.8406366291387111,0.00833123754031971
