policy,cost_mult,pf,dd,avg_r,trades
A_core_6,1.0,1.6001587219925002,0.2706574463928747,0.07727717034356676,4988
A_core_6,1.25,1.544778626919864,0.34113113976412635,0.06572434943990402,4988
A_core_6,1.5,1.4903853761233774,0.4298304871564222,0.054171528536241284,4988
A_core_6,2.0,1.3863694605382944,0.8178198280132543,0.031298733882944726,4981
H_all_38,1.0,1.2962494172583363,0.9967266241785633,0.06926535439876996,4534
H_all_38,1.25,1.2469113933444125,0.9966528900895766,0.05723747738955602,4534
H_all_38,1.5,1.1982910718239697,0.996691694552843,0.04536678646226681,4534
H_all_38,2.0,1.091368420131303,0.9968198650212006,0.019483681519335303,4204
E_core_plus_candle,1.0,1.4849659402683861,0.47944925079517525,0.07441069594592074,4974
E_core_plus_candle,1.25,1.4336702023254304,0.575830183266019,0.06286051392602908,4974
E_core_plus_candle,1.5,1.3832777257088265,0.6930758111678423,0.05131033190613744,4974
E_core_plus_candle,2.0,1.291094164604459,0.9074123310796581,0.02948499563044222,4932
