,ema20_distance_atr,ema50_distance_atr,ema20_distance_percent,ema50_distance_percent,ema_cross_distance,ema20_slope,ema50_slope,ema_trend_duration,ema_alignment_score,atr_percent,atr_percentile_252,rolling_volatility,volatility_rank,volatility_regime_score,macd_normalized,macd_histogram_zscore,macd_signal_distance,momentum_rank,rsi_percentile,roc_3,roc_12,momentum_acceleration,body_percent,upper_wick_percent,lower_wick_percent,close_position,range_percent,body_rank,hour_sin,hour_cos,day_sin,day_cos,rolling_zscore,rolling_percentile,rolling_rank,rolling_quantile,rolling_std,rolling_mean_distance
volatility_regime_score,-0.017593681912387436,0.002574953669142773,-0.039466057029040276,-0.025260360306956053,0.02458251019095733,-0.03900235761154816,-0.01932859878608847,0.12254385055562522,-0.007955796708570497,0.22861085489024066,0.9999999999999996,0.2774732454014247,0.7018123336481867,1.0,-0.013341532191846722,-0.03197386798226312,-0.02994207558034003,-0.04523816602564438,-0.07307048126466564,-0.011771907635684776,-0.03442399933656154,0.005513725278575165,0.05685193037523665,-0.04459594468352408,-0.025627607787139992,0.013127180759192204,0.24390311318647132,0.04161193026950448,-0.28485213931357284,0.1662885789619118,-0.08908492490294331,-0.04962524469232632,0.008145606368964999,0.009170512312183732,0.009238605018753128,0.1712031496246784,0.27803818851997486,0.008145606368964999
macd_normalized,0.7845378028330627,0.9421240251185324,0.6114685562548156,0.7482249762685,0.8885107370006807,0.6761538191358776,0.7757237833891885,0.05000139543816381,0.8252516591304397,-0.04486662120825202,-0.013341532191846486,-0.0411840404827993,-0.01778963353197407,-0.013341532191846722,1.0,0.1824638449092995,0.2851090295222962,0.4015364414970143,0.6262555991590343,0.16324535738434368,0.5439692035364135,-0.1111000614611382,0.001539633517517744,0.0036566761867135506,-0.005474920121532582,0.04049542890979614,-0.027279134712435687,0.001251798467294801,0.006944096481494903,-0.010072379505294531,-0.013986332893394359,-0.0036364520623534484,-0.10706037003361461,-0.1025578628985568,-0.10255335218375193,0.23953815187348085,-0.039285587291100016,-0.10706037003361461
macd_histogram_zscore,0.6237277033625229,0.2938762304245671,0.5237790247609863,0.27004673360470505,-0.1482672397236889,0.5125187362638972,0.22934007727314734,-0.03267319563004682,0.21655479601770786,-0.02072238871869688,-0.0319738679822632,-0.0155877179908104,-0.006923215772320335,-0.03197386798226312,0.1824638449092995,1.0,0.9488757353769371,0.8056267159841874,0.6126786768440026,0.3956539533153697,0.5971569405224608,0.09202317704933259,0.003714727434880983,0.039886369466974214,-0.04374061074463617,0.0886158883529255,-0.04169201691935058,0.004260505856473574,0.02282202536465716,0.0013692184316852068,-0.004828333805383275,-0.02201895902146903,0.09901147950277699,0.07521645533095955,0.07521348434279879,0.12632035657036544,-0.014468587080255469,0.09901147950277699
macd_signal_distance,0.696201764390002,0.37484577531639746,0.5653591758335963,0.3304783037592059,-0.07758983408683423,0.5681185450691123,0.29793240704283636,-0.021936329308702023,0.2952798223120307,-0.015109544213256887,-0.029942075580339927,-0.0075709787401332124,-0.000476758866624124,-0.02994207558034003,0.2851090295222962,0.9488757353769371,1.0,0.8383695337655757,0.6818127499127566,0.3741741107503712,0.645125548150121,0.04291529237120644,0.0038636463440509337,0.03839938660883529,-0.04245970971086741,0.08947791655462096,-0.03306137031479898,0.004201308790591693,0.019614696525516617,-0.003143223147523781,-0.001613978376414798,-0.019199556129396528,0.07177298986485349,0.05221848093052168,0.05221477657210613,0.16472884199231555,-0.0063531639671967925,0.07177298986485349
momentum_rank,0.7531682173786189,0.5017576761542241,0.6011160775959992,0.4200695188277728,0.09681011264802732,0.575676484355763,0.37362643370745535,-0.016512192520944838,0.4374523842089408,-0.02634239776265079,-0.04523816602564409,-0.01783209726532649,-0.013418499833573811,-0.04523816602564438,0.4015364414970143,0.8056267159841874,0.8383695337655757,1.0,0.8069023420645326,0.4117586228736452,0.6324976418313076,0.02640580738180694,0.007986370198063497,0.042563309997289626,-0.051592741437917915,0.18640096161427708,-0.039205080879167714,0.008328861344873848,0.02277720153682692,-0.0024234882749435984,-0.01128952059602468,-0.013814372007922357,0.2005276768951995,0.17354726588380373,0.1735438038535793,0.1624141253975765,-0.016699660686140136,0.2005276768951995
rsi_percentile,0.8477591944675652,0.6724078519030238,0.6580198798680896,0.5350177678488485,0.31107676886326496,0.6280302999512516,0.4880271377344778,-0.018893232920460037,0.6131222105456157,-0.032277857241407755,-0.07307048126466564,-0.02892825975589559,-0.0409789858044959,-0.07307048126466564,0.6262555991590343,0.6126786768440026,0.6818127499127566,0.8069023420645326,1.0,0.4353223275505393,0.6088430415173889,0.12858459380911633,0.006308500859081218,0.04896035524499591,-0.05582820294097896,0.23114566505635675,-0.04008067380497134,0.007746544442344713,0.011252713980133089,0.0001342531044796595,-0.017781253267558465,-0.010550940431177845,0.21238593053300464,0.19545658801053595,0.19544351211342542,0.20727415693197346,-0.02741256979118419,0.21238593053300464
roc_3,0.5275165346214872,0.35786997658175673,0.668083253114567,0.4611787224642658,0.07988279537240248,0.47734956053037014,0.3127096100867144,0.0002232119250012204,0.27600104123394026,-0.03274685506551294,-0.011771907635684808,-0.023773282411494786,-0.008464831659796255,-0.011771907635684776,0.16324535738434368,0.3956539533153697,0.3741741107503712,0.4117586228736452,0.4353223275505393,1.0,0.5014376157531754,0.7044146630731576,0.00831996005818927,0.04096637820477136,-0.05042667219266769,0.2840919949739494,-0.11160908485316995,0.008252230249701332,0.011869542891438413,0.015178405864468855,-0.0002382917037685477,-0.00015128828043946545,0.38281919436237927,0.33792928833178143,0.33794574909113034,0.13876599124857653,-0.022058628625979036,0.38281919436237927
roc_12,0.7122787614854031,0.6010836776129815,0.9013273993318112,0.7774826573465894,0.32920441763597724,0.8957293296440239,0.7351598263606798,0.010996223663632738,0.4976029476013784,-0.07816498429925037,-0.034423999336561574,-0.06736580761098164,-0.029330693438168656,-0.03442399933656154,0.5439692035364135,0.5971569405224608,0.645125548150121,0.6324976418313076,0.6088430415173889,0.5014376157531754,1.0,0.007204881820034048,-0.0006271678763195336,0.025392178641727537,-0.02418872602265835,0.1356596076655773,-0.10445017614013932,-0.0002462491450329547,0.020383333350984453,-0.003964366765420026,-0.0017173808972322994,-0.0050409680198767945,0.09957258720372374,0.08051198229340305,0.0805205427461465,0.25866287610647537,-0.06378486039823879,0.09957258720372374
momentum_acceleration,0.1696377180146544,0.05699248863997617,0.21589989980714164,0.0721663152165197,-0.08339579834980033,0.04029137911329588,-0.04759677160052254,-0.006056774791384354,0.02603319989345669,0.004322796641094912,0.0055137252785751965,0.00832943863926616,0.005461117433445742,0.005513725278575165,-0.1111000614611382,0.09202317704933259,0.04291529237120644,0.02640580738180694,0.12858459380911633,0.7044146630731576,0.007204881820034048,1.0,0.009546007184235775,0.026912705569246163,-0.03811227516562774,0.2056057385931461,-0.055233782812044954,0.00937208529223161,-8.642222934889485e-05,0.01791065290850966,-0.002609764817929617,0.002083546007020523,0.31652325855101465,0.28232149131160716,0.28233724247655184,0.00858795585542722,0.008334032127906345,0.31652325855101465
body_percent,0.011090325451363415,0.00848395217066848,0.0020422158560759337,0.0008409103678311552,0.003481985764419136,-0.001227417223419809,-0.0008655704329991001,0.005783158301219459,0.004733681593886121,0.013094861134524573,0.05685193037523683,0.034399737947864724,0.0976354202347535,0.05685193037523665,0.001539633517517744,0.003714727434880983,0.0038636463440509337,0.007986370198063497,0.006308500859081218,0.00831996005818927,-0.0006271678763195336,0.009546007184235775,1.0,-0.6073900867915464,-0.6248508499148828,0.02009437200497581,0.14556900606320705,0.986541613496285,0.009013766282752628,0.01368410193784992,0.0006583046299368124,-0.0016586572761459828,0.02475524503475327,0.03388190938169785,0.03409020270812672,0.04470385072214454,0.03446406781120333,0.02475524503475327
