feature,group,n,n_finite,pct_missing,n_inf,n_unique,variance,near_zero_var,mean,std,p01,p99,definition,causal_ok,exclude_reason
body_percent,candle,68356,68329,0.00039499092983785733,0,51223,648.1005089356711,False,44.18549502575933,25.45781822811356,0.6371051013417752,94.68762944831549,|close-open| / (high-low),True,
upper_wick_percent,candle,68356,68329,0.00039499092983785733,0,47865,419.35243669902195,False,27.45456224267539,20.478096510638434,0.0,81.25000000000044,upper wick / range,True,
lower_wick_percent,candle,68356,68329,0.00039499092983785733,0,47754,434.1544419958199,False,28.359942731565276,20.836373052808877,0.0,82.39550694650313,lower wick / range,True,
close_position,candle,68356,68329,0.00039499092983785733,0,50343,0.0838201953060356,False,0.5118034523387843,0.28951717618482603,0.003608152695983044,0.9968088171733209,(close-low)/(high-low),True,
range_percent,candle,68356,68329,0.00039499092983785733,0,67876,0.09931455501869295,False,0.2889924711374395,0.31514211876341275,0.051638858201780616,1.6219202657672558,(high-low)/close * 100,True,
body_rank,candle,68356,68310,0.0006729475100941684,0,511,0.08341799770190872,False,0.5002660539966122,0.28882174035537683,0.015,0.9903500000000014,rolling rank of body_percent,True,
hour_sin,session,68356,68356,0.0,0,21,0.511671534819712,False,0.004141579057310332,0.7153121939542985,-1.0,1.0,sin(2π hour/24),True,
hour_cos,session,68356,68356,0.0,0,22,0.48762593165627927,False,-0.026179779352024216,0.6983021778974194,-1.0,1.0,cos(2π hour/24),True,
day_sin,session,68356,68356,0.0,0,6,0.2632448359703563,False,0.3563282885520385,0.5130739088770314,-0.433883739117558,0.9749279121818236,sin(2π weekday/7),True,
day_cos,session,68356,68356,0.0,0,6,0.6033699356647287,False,-0.08009606196617886,0.7767689075038526,-0.9009688679024191,1.0,cos(2π weekday/7),True,
rolling_zscore,statistical,68356,68351,7.314646848854967e-05,0,68351,1.0374662699982544,False,-0.00207125419566175,1.0185608818319376,-2.800484740296769,2.7852573412730632,(ret - mean20) / std20,True,
rolling_percentile,statistical,68356,68351,7.314646848854967e-05,0,30,0.08301332765685007,False,0.5244946691892102,0.2881203353754297,0.05,1.0,fraction of window returns ≤ current ret,True,
rolling_rank,statistical,68356,68351,7.314646848854967e-05,0,48,0.0830115589629983,False,0.49943933418076975,0.2881172659925092,0.025,0.975,"average-rank of current ret in window / n → [0,1]",True,
rolling_quantile,statistical,68356,68351,7.314646848854967e-05,0,22592,1.0713323893489514e-06,False,0.000991173475304531,0.0010350518776123985,3.51152804646121e-05,0.005821224936129854,"window quantile(q=0.75) of returns (LEVEL, not rank)",True,
rolling_std,statistical,68356,68351,7.314646848854967e-05,0,68343,2.662108460816183e-06,False,0.001885922201234171,0.0016315969051258288,0.0005847703781241627,0.009740592469701607,std20 of returns,True,
rolling_mean_distance,statistical,68356,68351,7.314646848854967e-05,0,68351,1.0374662699982544,False,-0.00207125419566175,1.0185608818319376,-2.800484740296769,2.7852573412730632,(ret - mean20) / std20  [≈ rolling_zscore],True,NEAR_IDENTICAL_TO:rolling_zscore
