policy,features,entry,cost_mult,pf,dd,avg_r,wr,trades,ret,retention,mc_prob_ruin,mc_median_dd
feat7_immediate,feat7,h1 close,1.0,1.3267858410109554,0.5380584827607544,0.05854716046350363,0.8020618556701031,5335,2.7057382255094375,1.0,0.0031,0.27998229565898247
feat7_m15_pullback,feat7,m15 pullback,1.0,1.4354286962484017,0.5404601761324715,0.06999075095933134,0.807224025974026,4928,3.229432224449192,0.9733002626203676,0.0005,0.24041302146482313
h1_native_immediate,h1_native,h1 close,1.0,1.3987305326075496,0.3018992452973343,0.06078963614155213,0.8060843598357597,5358,3.215993171761859,1.0,0.0016,0.25304167882701156
h1_native_m15_pullback,h1_native,m15 pullback,1.0,1.6001587219925002,0.2706574463928747,0.07727717034356676,0.8147554129911788,4988,4.184450031179984,0.9734461628246279,0.0003,0.197763187029121
