policy,features,entry,cost_mult,pf,dd,avg_r,wr,trades,ret,retention,mc_prob_ruin,mc_median_dd
feat7_immediate,feat7,h1 close,1.0,1.3267858410109554,0.5380584827607544,0.05854716046350363,0.8020618556701031,5335,2.7057382255094375,1.0,0.0031,0.27998229565898247
feat7_immediate,feat7,h1 close,1.25,1.2789669307252662,0.5592944731642494,0.04696070135683615,0.8020618556701031,5335,2.33033465318801,1.0,,
feat7_immediate,feat7,h1 close,1.5,1.2319832174739132,0.6556014257568255,0.035374242250168685,0.8020618556701031,5335,1.954931080866578,1.0,,
feat7_immediate,feat7,h1 close,2.0,1.1425272589832114,0.9971243444331149,0.010853407563357722,0.8009277934651069,4958,1.1536479379626634,1.0,,
feat7_m15_pullback,feat7,m15 pullback,1.0,1.4354286962484017,0.5404601761324715,0.06999075095933134,0.807224025974026,4928,3.229432224449192,0.9733002626203676,0.0005,0.24041302146482313
feat7_m15_pullback,feat7,m15 pullback,1.25,1.3852078309786149,0.5555883791445593,0.058458044901127416,0.807224025974026,4928,2.8823601196277666,0.9733002626203676,,
feat7_m15_pullback,feat7,m15 pullback,1.5,1.3358643361686449,0.5713031985527857,0.0469253388429235,0.807224025974026,4928,2.535288014806338,0.9733002626203676,,
feat7_m15_pullback,feat7,m15 pullback,2.0,1.2435222627094409,0.8321486450082929,0.02452186658651192,0.807684488717219,4919,1.8630120195055384,0.9733002626203676,,
h1_native_immediate,h1_native,h1 close,1.0,1.3987305326075496,0.3018992452973343,0.06078963614155213,0.8060843598357597,5358,3.215993171761859,1.0,0.0016,0.25304167882701156
h1_native_immediate,h1_native,h1 close,1.25,1.3488680054392181,0.3239223415962897,0.04920928896262119,0.8060843598357597,5358,2.8389589810475706,1.0,,
h1_native_immediate,h1_native,h1 close,1.5,1.2998806908932354,0.41375646964500157,0.03762894178369027,0.8060843598357597,5358,2.4619247903332835,1.0,,
h1_native_immediate,h1_native,h1 close,2.0,1.203268102230858,0.7908600961207058,0.014160691680365852,0.8058361391694725,5346,1.6966647735529914,1.0,,
h1_native_m15_pullback,h1_native,m15 pullback,1.0,1.6001587219925002,0.2706574463928747,0.07727717034356676,0.8147554129911788,4988,4.184450031179984,0.9734461628246279,0.0003,0.197763187029121
h1_native_m15_pullback,h1_native,m15 pullback,1.25,1.544778626919864,0.34113113976412635,0.06572434943990402,0.8147554129911788,4988,3.8327828598407003,0.9734461628246279,,
h1_native_m15_pullback,h1_native,m15 pullback,1.5,1.4903853761233774,0.4298304871564222,0.054171528536241284,0.8147554129911788,4988,3.481115688501417,0.9734461628246279,,
h1_native_m15_pullback,h1_native,m15 pullback,2.0,1.3863694605382944,0.8178198280132543,0.031298733882944726,0.8148966071070066,4981,2.785663661978332,0.9734461628246279,,
