policy,features,year,oos,pf,dd,trades
feat7_immediate,feat7,2021,False,1.357289529410474,0.1788921785443115,1157
feat7_immediate,feat7,2022,True,1.5116790546180414,0.13719442788131755,1210
feat7_immediate,feat7,2023,True,1.2506356236367107,0.14709769631948932,1143
feat7_immediate,feat7,2024,True,1.1048935667527549,0.4234136948302807,1205
feat7_immediate,feat7,2025,True,1.2281913397850437,0.4241680642650988,1178
feat7_immediate,feat7,2026,True,1.5027894826263524,0.5380584827607544,599
feat7_m15_pullback,feat7,2021,False,1.4246387678173151,0.1896244829529936,1060
feat7_m15_pullback,feat7,2022,True,1.564563303672711,0.125054163675874,1141
feat7_m15_pullback,feat7,2023,True,1.3707869995086344,0.13240542787932835,1027
feat7_m15_pullback,feat7,2024,True,1.1291009528050633,0.3098683579257614,1116
feat7_m15_pullback,feat7,2025,True,1.2796049397527,0.3206519127938274,1082
feat7_m15_pullback,feat7,2026,True,1.7477268986560273,0.5404601761324715,562
h1_native_immediate,h1_native,2021,False,1.3158160921674749,0.17158990252985784,1185
h1_native_immediate,h1_native,2022,True,1.3099872765169804,0.17155308365243835,1207
h1_native_immediate,h1_native,2023,True,1.4607991280424673,0.11393953902082464,1153
h1_native_immediate,h1_native,2024,True,1.1551258713619317,0.2524644572469789,1213
h1_native_immediate,h1_native,2025,True,1.3578077680853284,0.23691467988466577,1192
h1_native_immediate,h1_native,2026,True,1.5868287773180663,0.3018992452973343,593
h1_native_m15_pullback,h1_native,2021,False,1.3392109626013682,0.19930355262719063,1087
h1_native_m15_pullback,h1_native,2022,True,1.403667084956694,0.1559590560499821,1128
h1_native_m15_pullback,h1_native,2023,True,1.5489198813547045,0.12257598155641901,1058
h1_native_m15_pullback,h1_native,2024,True,1.1407821539434884,0.2706574463928747,1131
h1_native_m15_pullback,h1_native,2025,True,1.4520163340760415,0.20672808947435659,1111
h1_native_m15_pullback,h1_native,2026,True,2.1907921950773592,0.16114543487588498,560
