track,p5,p25,p50,p75,p95,prob_ruin,median_dd,worst_dd,p95_losing_streak
h1_baseline,16.079965858809235,16.079965858809267,16.079965858809288,16.079965858809313,16.079965858809345,0.0016,0.25304167882701156,0.99924473212827,6.0
h4_h1,14.872964229876564,14.872964229876594,14.872964229876613,14.872964229876633,14.872964229876661,0.0009,0.25297579095028755,0.9982658393844052,6.0
production_feat7,13.528691127547168,13.528691127547189,13.528691127547203,13.528691127547217,13.52869112754724,0.0031,0.27998229565898247,0.9987813059265276,7.0
h4_h1_m5_pullback_recovery,24.889731993437845,24.88973199343788,24.889731993437913,24.889731993437938,24.889731993437977,0.0002,0.19970078892035822,0.9952470355271366,7.0
h1_baseline_m5_pullback_recovery,24.594821823536698,24.594821823536737,24.594821823536765,24.594821823536794,24.59482182353683,0.0006,0.2128404971158806,0.9983451323081574,7.0
