strategy,retention,pf,dd,trades,avg_r
immediate,1.0,1.3702940877903915,0.5767425089995578,5334,0.06573939735999108
delay_1,1.0,1.3982133611829877,0.6499033784171916,5313,0.08708864373518001
delay_2,1.0,1.4288747574688236,0.9108098504254131,5318,0.08415310755402315
momentum,0.9816165742632039,1.3065429311843504,0.725058951930316,5094,0.060873162022988675
pullback_recovery,0.9766559673183542,1.583820823318523,0.45220827005950914,5080,0.1187393741094149
structure,0.920922089290925,1.3980067059736137,0.6747755047973204,4565,0.0939227777305338
